algorithm,average_reward,average_cumulative_reward_loss,average_strongest_drop,average_recovery_steps,recovery_rate,seeds,average_variance,average_std,worst_std
stability-aware-dyna-q,-0.18420000000000003,94.0,0.501221,242.9,0.8,50,0.02253858342857144,0.14933359848936664,0.1860870983256639
stability-aware-dyna-q (no decay),-0.18420000000000003,94.0,0.501221,242.9,0.8,50,0.02253858342857144,0.14933359848936664,0.1860870983256639
stability-aware-dyna-q (decay 0.8),-0.19176,97.78,0.522021,242.225,0.8,50,0.027343611183673462,0.16342591267667922,0.22255703236038446
stability-aware-dyna-q (decay 0.6),-0.20040000000000005,102.1,0.5584210000000001,242.55,0.8,50,0.03401176987755102,0.18169611407179712,0.2406962689315126
local-change-dyna-q,-0.25631999999999994,130.06,0.5854210000000001,245.0,0.66,50,0.07014879453061214,0.25644223322260395,0.3529815281054711
stability-aware-dyna-q (decay 0.4),-0.28791999999999995,145.86,0.7408210000000001,275.8333333333333,0.72,50,0.07711856808163274,0.27050676475419216,0.3345227486849812
dyna-q-plus,-0.3389200000000001,161.66,0.7650890000000002,271.7567567567568,0.74,50,0.0957475639183674,0.2977137819328269,0.39994673114691415
stability-aware-dyna-q (decay 0.2),-0.34767999999999993,175.74,0.8140209999999999,287.62857142857143,0.7,50,0.09576964440816314,0.30079698859476645,0.38790915199835335
dyna-q,-0.38276000000000004,193.28,0.9004209999999998,293.6666666666667,0.66,50,0.11381822048979592,0.3257216232724841,0.4387401257682999
stability-aware-dyna-q (decay 0.0),-0.38276000000000004,193.28,0.9004209999999998,293.6666666666667,0.66,50,0.11381822048979592,0.3257216232724841,0.4387401257682999
q-learning,-1.0865200000000004,2.21,0.23150200000000015,70.38,1.0,50,0.01622051142857142,0.12697422861822039,0.14980599699175556
